Benchmark,1000,5000,10000,50000,100000,500000,1000000,5000000
[get] Object Native,0,0,1,0,1,2,4,17
[get] Object Seamless-immutable,1,0,0,0,1,4,8,39
[get] Object Immutable.js,2,1,2,2,4,11,21,110
[get] Object Mori.js,3,1,3,6,7,36,71,340
[get] Object Crio,2,0,2,0,1,4,9,41
[get] Array Native,1,2,0,1,2,9,17,84
[get] Array Seamless-immutable.js,0,1,2,2,3,9,17,85
[get] Array Immutable.js,2,2,3,4,5,20,36,173
[get] Array Mori.js,2,1,3,10,17,76,149,758
[get] Array Crio,1,2,2,3,3,10,19,88
[get-in] Object Native,0,0,1,0,0,2,4,20
[get-in] Object Seamless-immutable,1,1,1,1,1,2,3,17
[get-in] Object Immutable.js,4,4,8,19,47,236,455,2295
[get-in] Object Mori.js,4,4,7,19,32,157,276,1343
[get-in] Object Crio,1,0,1,1,2,5,12,59
[get-in] Array Native,0,1,0,1,2,9,20,96
[get-in] Array Seamless-immutable.js,1,2,1,2,3,11,20,96
[get-in] Array Immutable.js,3,10,10,24,55,374,658,3499
[get-in] Array Mori.js,4,4,3,22,42,654,1590,7912
[get-in] Array Crio,1,2,2,3,4,11,21,98
[set] Object Native,1,4,4,23,46,228,458,2301
[set] Object Seamless-immutable,7,29,56,259,512,2535,5143,25386
[set] Object Immutable.js,3,4,6,15,30,131,278,1231
[set] Object Mori.js,3,4,3,13,18,79,153,765
[set] Object Crio,22,77,145,678,1370,6746,13466,67768
[set] Array Native,1,4,3,19,35,179,367,1795
[set] Array Seamless-immutable.js,17,81,157,763,1495,8338,15625,75519
[set] Array Immutable.js,4,5,6,25,49,236,495,2339
[set] Array Mori.js,3,2,6,16,30,128,267,1242
[set] Array Crio,30,128,241,1200,2392,11977,23803,121048
[set-in] Object Native,2,7,9,48,96,478,963,4784
[set-in] Object Seamless-immutable,14,58,123,606,1203,6030,12093,60360
[set-in] Object Immutable.js,8,15,17,77,203,991,2529,11958
[set-in] Object Mori.js,6,9,11,56,107,531,1069,5471
[set-in] Object Crio,39,173,336,1614,3225,16807,33351,165256
[set-in] Array Native,1,5,7,37,74,370,724,3663
[set-in] Array Seamless-immutable.js,33,146,292,1540,3101,15712,31075,149443
[set-in] Array Immutable.js,7,14,22,128,339,1677,3325,16714
[set-in] Array Mori.js,7,12,22,112,221,1456,2896,16104
[set-in] Array Crio,47,221,441,2233,4462,22255,44525,224369